service,method,path_norm,fe_files,be_files,notes
public-api,GET,/ER/DOCUMENTS/EXPORT,bthwani-project-main/admin-dashboard/src/api/documents.ts,,FE-ONLY
public-api,GET,/ERRANDS/CATEGORIES,bthwani-project-main/bthwani-web/src/api/delivery.ts,,FE-ONLY
public-api,GET,/ERRANDS/DRIVERS/AVAILABLE,bthwani-project-main/bthwani-web/src/api/delivery.ts,,FE-ONLY
public-api,GET,/ERRANDS/{PARAM},,bthwani-project-main/backend-nest/src/modules/akhdimni/akhdimni.controller.ts,BE-ONLY
public-api,GET,/ES3AFNI,bthwani-project-main/app-user/src/api/es3afniApi.ts;bthwani-project-main/bthwani-web/src/features/es3afni/api.ts,bthwani-project-main/backend-nest/src/modules/es3afni/es3afni.controller.ts,OK
public-api,GET,/ES3AFNI/MY,bthwani-project-main/app-user/src/api/es3afniApi.ts,,FE-ONLY
public-api,GET,/ES3AFNI/SEARCH,bthwani-project-main/app-user/src/api/es3afniApi.ts,,FE-ONLY
public-api,GET,/ES3AFNI/STATS,bthwani-project-main/app-user/src/api/es3afniApi.ts,,FE-ONLY
public-api,GET,/ES3AFNI/{PARAM},,bthwani-project-main/backend-nest/src/modules/es3afni/es3afni.controller.ts,BE-ONLY
public-api,GET,/EXPORT,,bthwani-project-main/backend-nest/src/modules/order/order.controller.ts,BE-ONLY
public-api,GET,/EXPORT-DATA,,bthwani-project-main/backend-nest/reports/store_backend_map.md,BE-ONLY
public-api,GET,/FEATURES,bthwani-project-main/admin-dashboard/src/hook/useFeatures.ts,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/FEE,,bthwani-project-main/backend-nest/src/modules/cart/cart.controller.ts,BE-ONLY
public-api,GET,/FINANCE/COMMISSION-PLANS,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/COMMISSIONS/AUDIT-LOG,bthwani-project-main/admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/FINANCE/COMMISSIONS/MY,,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md;bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/COMMISSIONS/SETTINGS,bthwani-project-main/admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/FINANCE/COMMISSIONS/STATS/MY,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
