surface,file,client,method,path,normalized_path
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/GeneralLedger.tsx,http,GET,/opening-balance,/OPENING-BALANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/GeneralLedger.tsx,http,GET,/journals,/JOURNALS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/JournalEntries.tsx,axios,GET,/journal-entries,/JOURNAL-ENTRIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/JournalEntries.tsx,axios,GET,/accounts/chart?onlyLeaf=1,/ACCOUNTS/CHART
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/JournalEntries.tsx,axios,POST,/journal-entries,/JOURNAL-ENTRIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/OpeningBalanceModal.tsx,http,POST,/opening-balance,/OPENING-BALANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/parteners/PartnerDetails.tsx,axios,GET,/partners,/PARTNERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/parteners/PartnerDetails.tsx,axios,POST,/partners/upsert,/PARTNERS/UPSERT
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/parteners/PartnersList.tsx,axios,GET,/partners,/PARTNERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/support/Inbox.tsx,axios,GET,/admin/dashboard/support-tickets,/ADMIN/DASHBOARD/SUPPORT-TICKETS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/support/Reports.tsx,axios,GET,/support/reports/summary,/SUPPORT/REPORTS/SUMMARY
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/support/TicketView.tsx,axios,GET,/admin/dashboard/support-tickets,/ADMIN/DASHBOARD/SUPPORT-TICKETS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/services/chartAccount.api.ts,axios,GET,/accounts/chart,/ACCOUNTS/CHART
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/services/chartAccount.api.ts,axios,GET,/accounts/chart/tree,/ACCOUNTS/CHART/TREE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/services/chartAccount.api.ts,axios,POST,/accounts/chart,/ACCOUNTS/CHART
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/services/uploadService.ts,axios,POST,/media/sign-upload,/MEDIA/SIGN-UPLOAD
UNKNOWN,bthwani-project-main/app-user/src/api/akhdimniApi.ts,axiosInstance,POST,/akhdimni/errands/calculate-fee,/AKHDIMNI/ERRANDS/CALCULATE-FEE
UNKNOWN,bthwani-project-main/app-user/src/api/akhdimniApi.ts,axiosInstance,POST,/akhdimni/errands,/AKHDIMNI/ERRANDS
UNKNOWN,bthwani-project-main/app-user/src/api/akhdimniApi.ts,axiosInstance,GET,/akhdimni/my-errands,/AKHDIMNI/MY-ERRANDS
UNKNOWN,bthwani-project-main/app-user/src/api/amaniApi.ts,axiosInstance,POST,/amani,/AMANI
UNKNOWN,bthwani-project-main/app-user/src/api/amaniApi.ts,axiosInstance,GET,/amani,/AMANI
UNKNOWN,bthwani-project-main/app-user/src/api/amaniApi.ts,axiosInstance,GET,/amani/my,/AMANI/MY
UNKNOWN,bthwani-project-main/app-user/src/api/amaniApi.ts,axiosInstance,GET,/amani/search,/AMANI/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/arabonApi.ts,axiosInstance,POST,/arabon,/ARABON
UNKNOWN,bthwani-project-main/app-user/src/api/arabonApi.ts,axiosInstance,GET,/arabon,/ARABON
UNKNOWN,bthwani-project-main/app-user/src/api/arabonApi.ts,axiosInstance,GET,/arabon/my,/ARABON/MY
UNKNOWN,bthwani-project-main/app-user/src/api/arabonApi.ts,axiosInstance,GET,/arabon/search,/ARABON/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/es3afniApi.ts,axiosInstance,POST,/es3afni,/ES3AFNI
UNKNOWN,bthwani-project-main/app-user/src/api/es3afniApi.ts,axiosInstance,GET,/es3afni,/ES3AFNI
UNKNOWN,bthwani-project-main/app-user/src/api/es3afniApi.ts,axiosInstance,GET,/es3afni/my,/ES3AFNI/MY
UNKNOWN,bthwani-project-main/app-user/src/api/es3afniApi.ts,axiosInstance,GET,/es3afni/search,/ES3AFNI/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/es3afniApi.ts,axiosInstance,GET,/es3afni/stats,/ES3AFNI/STATS
UNKNOWN,bthwani-project-main/app-user/src/api/kawaderApi.ts,axiosInstance,POST,/kawader,/KAWADER
UNKNOWN,bthwani-project-main/app-user/src/api/kawaderApi.ts,axiosInstance,GET,/kawader,/KAWADER
